PID,AGEP,SEX,PERSONS,HINCP,BIN
vcl5xzpr1kxintvbt1rqzrrw19a2632t,33,Male,2,25000 - 74999,high
nrjdmd3865qrhmflcxh5evurp4vcbwx1,30,Female,2,25000 - 74999,medium
4t9yyq0luansds7hn78d0ntavvof2w9h,26,Male,5,25000 - 74999,medium
jxz4njbr2nvw9jgif8xzscr1fhck5k1z,25,Female,3,0 - 24999,medium
i335mdzed3axhhr6r400j9jjjnvaipx3,45,Female,2,25000 - 74999,low
kgw0n6qh7wordx0tqxew3icymn9qqlm7,57,Male,3,75000 or more,medium
2slpyqnc2zoh596lrkccws312oujc740,36,Female,5,25000 - 74999,high
nb6818ihwk8zi1k6ntcj040pxz0vqzpy,20,Male,3,25000 - 74999,high
thg7nyf732ea98eu9t6t7wy6or8l92xp,23,Female,3,75000 or more,low
k10g0fh7dx83r4gj7jfmyodq04ffpvdu,32,Male,2,75000 or more,high
czcgivwkbr10z1jnpd2lgbgejzwigiep,24,Male,1,25000 - 74999,medium
414rnztj3xibr2f3mk4nfqtrvi8ad0at,22,Female,3,25000 - 74999,medium
2476sse2boqqul6tcj5rntygxsiqn1hh,25,Female,1,0 - 24999,low
vos6k5nui73wx2161a9svivctx0zafr9,49,Female,1,25000 - 74999,low
qxno5zkwaqe44pssssh9s1foqne5wi63,28,Male,4,25000 - 74999,high
ciyfg7j4talnwqr2if1g3oznkdzg3cmt,38,Male,1,75000 or more,low
pizc2xrdk9mjz586q4wywr6c0fzf1xu5,29,Female,4,75000 or more,medium
wj42inyks429lrbpriaue9e233gd4q2t,34,Male,3,25000 - 74999,low
fq3rck9596q2f2jiok7jps5n538nq4al,71,Male,1,25000 - 74999,low
n6o64ka4v48a6zo3yy8iehgw0zkybxdt,55,Male,2,25000 - 74999,low
pztzw01ruad3b1h3bayr5hhl2rvcvvbk,59,Female,2,25000 - 74999,high
xbmximmnw1csc452xxy44pg0b8e2hvsl,26,Female,1,0 - 24999,medium
ui47rkc8spnn260k45opk50tpqp0p6qs,43,Male,3,75000 or more,high
hzbmsdkhd15vzwlhl0mpfxe1fwisdw41,31,Female,6,25000 - 74999,high
u3or79saua3oxzlqgwy7ls89xzaq8zka,31,Female,1,0 - 24999,medium
3rld4cpvlmufm81g8ryviae2yoh2uq6q,28,Female,3,25000 - 74999,medium
65ps22o07ey0jgl97ablzvet7jn88ej1,57,Female,2,75000 or more,high
n26flmtmpnbnz51yuvyoya9bh3retnno,28,Male,3,25000 - 74999,high
momo8zcw2ahy3xbjhmqkr3k0m8u83fsp,29,Female,2,0 - 24999,low
5xzlaq5a4v1sq66d1i9s2skl6v1gwe7q,23,Male,3,25000 - 74999,medium
5lq05r62e29jgsfa42a03cga31va73cm,22,Male,2,25000 - 74999,low
3l82na6sb46omhfrbvsydq5ea3g8p045,42,Female,2,25000 - 74999,low
4osf2p2ocv6r066j1avl1qu3c3y1v97d,31,Female,4,25000 - 74999,high
wmey702az5iqlhn7qzr3nqqk2f4u46i7,25,Female,3,0 - 24999,high
nrnl9hvi6wbf3ofc2cos2qwdg8yifcen,31,Male,3,75000 or more,medium
gjl9jrdshdlzv43x0eki7knmjmjp4wwk,30,Female,3,25000 - 74999,high
jfyq1b0c36balk8v7rqkqmgp0cdjqj6k,25,Male,4,25000 - 74999,medium
bn1ebi2gzj0r0mnau7i0yf2mc90gy2m0,26,Male,1,25000 - 74999,low
w3jl6oylt0lrmkqtkxi6f58j8s1emvky,58,Female,2,75000 or more,low
j657uenhp44axir5dzrap1vxpuavwn7w,24,Female,2,25000 - 74999,low
s2tzv4zp70wwbl136mkxry6q9yf0de5b,23,Female,2,25000 - 74999,high
jxk8kieltsr7b6ytw0fc397crnthbdvk,46,Male,2,0 - 24999,low
avb3xmuutri1rcmqvgpkpuxazm3z1nh9,22,Male,4,75000 or more,low
qeavos57hspjk9cpb13mlxkhbjcmtv81,36,Male,3,75000 or more,high
grikh5kaxe1n6zfaw446ytxiam5molpo,47,Female,2,25000 - 74999,medium
uf71t4edrsz4x043y6rm0h8lpqtx028e,26,Female,2,25000 - 74999,high
o6biij6d4pj8y1b02018rnmivxxzmovx,33,Female,5,75000 or more,low
jvxymyyzmm8l8t8h82ygkza3hzqptr4l,55,Male,2,25000 - 74999,medium
2dlv608lo8tkoyqbbutspsolxvbxapt8,25,Male,3,25000 - 74999,low
lbg1qbaln9mwom7uy9iv98zniyy59mur,35,Male,4,75000 or more,medium
xkgmomrkjx2d1kmtrsehv7wzut555txe,23,Male,3,0 - 24999,medium
3n3y2lrz3qjj0ebnenwxifulvmq2nilq,20,Male,1,0 - 24999,low
tukkovr633a6znap5lop6s5o5dywcunh,35,Female,4,25000 - 74999,high
qr66523x3rte1buidpxwtm3xki81kw7a,29,Male,2,25000 - 74999,high
vnabek7wfeher3kv1ons0yn4xxsnw69x,50,Male,1,0 - 24999,low
yub5tpq7ew1302fnc1lxvcq0inwvcvpl,41,Male,3,25000 - 74999,medium
9g8gz5zy86w1kotl4o4m7flb74gypwi3,33,Male,2,25000 - 74999,medium
idxor1n9bqxsifwvi8v6pnh30kach6qn,29,Male,3,25000 - 74999,high
cmm8okiy3j97e0ivbki6za54ccfx7jq4,59,Male,1,25000 - 74999,low
ef3f73nxut1ny00r07vpwx667cqudjy0,30,Female,3,25000 - 74999,low
vf3iwm9fkz2zk4fsv64ppdfrrctw540o,30,Female,4,25000 - 74999,high
wd1g358q3qjkhtm4t6oky3hm7t2lz9pi,21,Male,4,25000 - 74999,low
vrg16blaxw1t2sd8n3cev3ktkuxro2m7,69,Male,2,75000 or more,low
xpj840v0lqmw19ng1ze77j4y4gs1xzhz,70,Male,1,25000 - 74999,medium
5he9mz8dxndyhrswac1507sl0w3qeyme,68,Female,2,25000 - 74999,high
8tl4b1z0fndkj2ete9mi1q4jwyxbd056,56,Male,2,25000 - 74999,high
3y9uu6x46dkumw9e9n51rc5zn7tzlekm,50,Female,2,25000 - 74999,high
8eayu0b332swe2wmts42ios71aqek4au,46,Male,3,75000 or more,high
emhx7jqoykxh37ldfxwkr42m1fll9uvy,19,Male,4,25000 - 74999,high
izmh5gql5bv686sgb0maw5d3jrbe2tmw,65,Female,1,25000 - 74999,high
yfqzoei3p0dpffcibs7aqbrh1iyip07z,22,Female,2,0 - 24999,high
nxi0byu3qm50ahvjmephf6oyuovqg90l,38,Female,2,25000 - 74999,medium
p828jdl9fp0gnz06zdntr85vrw09bmpe,43,Female,2,25000 - 74999,medium
b90vby7plvv7c6a3df6khzrjen6awgsy,45,Male,2,25000 - 74999,medium
esc711lun621626hlo5sjnkg6ojczbok,60,Female,2,25000 - 74999,medium
dnhqxysuvgn139qot9iy8ndvl3mfn6y8,62,Male,1,0 - 24999,medium
