PID,AGEP,SEX,HOME_ZIPCODE,HINCP,HID,PERSONS,BIN
364542902,65,1,95437,3,111605273,2,1
364543032,51,1,95437,2,111605337,2,3
364543137,27,1,95437,1,111605389,3,2
364563992,57,1,95482,2,111613886,2,3
364523492,81,1,95461,2,111597253,2,1
364523554,41,1,95461,3,111597273,2,1
364523941,46,1,95461,3,111597409,2,1
364523944,45,1,95461,2,111597411,1,1
364524024,28,1,95461,2,111597444,4,3
364543251,60,1,95437,3,111605433,2,2
364543331,61,1,95437,3,111605462,2,2
364543456,25,1,95437,1,111605526,1,1
364543534,83,1,95437,1,111605565,1,1
364543623,55,1,95437,2,111605603,2,1
364543800,57,1,95437,3,111605684,2,3
364544063,54,1,95437,1,111605782,1,1
364544130,71,1,95437,1,111605811,1,1
620896897,69,1,98208,1,213442426,1,2
620837277,39,1,98275,2,213418877,1,1
620837425,49,1,98275,2,213418924,1,1
620837795,70,1,98275,2,213419056,1,2
620859357,82,1,98208,1,213427160,1,1
620859451,32,1,98208,1,213427206,1,2
620859456,93,1,98208,1,213427209,1,1
620859571,79,1,98208,1,213427264,1,1
620859885,55,1,98208,2,213427431,1,1
620860054,42,1,98208,1,213427514,1,1
620860131,51,1,98208,1,213427556,1,1
620860209,54,1,98208,2,213427602,1,1
620881062,63,1,98037,2,213435943,1,2
620881169,52,1,98037,2,213435991,2,3
620881412,61,1,98037,2,213436097,1,2
620881423,53,1,98037,2,213436102,1,1
620881490,47,1,98037,2,213436130,1,1
620881524,43,1,98037,2,213436145,1,1
620881602,45,1,98037,2,213436186,1,1
620881726,45,1,98037,2,213436245,1,1
620881893,27,1,98037,1,213436327,1,1
620892157,79,1,98204,1,213440558,1,1
620892158,44,1,98204,2,213440559,1,1
620892312,26,1,98208,2,213440632,2,1
620892745,71,1,98208,3,213440826,2,1
620892850,35,1,98208,2,213440870,1,1
620892948,38,1,98208,2,213440914,1,1
620839075,62,1,98203,1,213419438,1,2
620860638,63,1,98208,3,213427789,3,2
620860691,26,1,98208,2,213427809,1,1
620882420,59,1,98204,2,213436499,1,1
620882962,93,1,98204,1,213436691,1,1
620883273,64,1,98204,3,213436788,2,1
620883356,50,1,98204,2,213436818,2,3
620883367,53,1,98204,2,213436823,1,1
621097908,37,1,98208,3,213526043,1,1
621097968,38,1,98208,2,213526071,1,1
621098085,39,1,98208,2,213526120,1,1
621098150,22,1,98208,1,213526145,1,2
621098176,36,1,98208,2,213526158,1,1
621098543,45,1,98208,3,213526315,2,1
621098681,22,1,98208,1,213526360,1,2
621098796,56,1,98208,2,213526409,1,1
621098896,35,1,98208,2,213526458,1,1
621099042,40,1,98208,2,213526520,2,2
621099270,46,1,98208,2,213526615,1,1
621161211,39,1,98012,3,213549959,1,1
621161322,37,1,98012,2,213550020,1,1
621161488,58,1,98012,2,213550097,1,1
621161510,55,1,98012,3,213550107,2,1
621120946,59,1,98296,3,213534347,2,3
621121272,29,1,98296,3,213534468,4,2
621121571,56,1,98296,3,213534575,1,1
621121578,72,1,98296,2,213534578,2,1
621078052,34,1,98036,1,213518523,1,1
621078403,42,1,98036,2,213518639,3,2
621078453,42,1,98036,2,213518656,1,1
621078759,34,1,98043,1,213518772,1,1
621140872,38,1,98036,2,213542054,1,1
621141596,45,1,98036,2,213542308,1,1
621142085,34,1,98036,1,213542467,1,1
621142128,39,1,98036,2,213542482,1,1
621099452,43,1,98208,2,213526692,1,1
621099701,64,1,98208,2,213526790,3,2
621100317,84,1,98208,1,213527051,1,1
621100459,73,1,98208,1,213527113,1,1
621122331,59,1,98036,2,213534864,1,1
621122932,53,1,98036,3,213535077,2,3
621079272,74,1,98043,1,213518975,1,1
621079440,51,1,98043,1,213519037,1,1
621079584,48,1,98043,3,213519090,2,1
621079786,41,1,98043,1,213519162,1,1
621079833,34,1,98043,1,213519179,1,1
621079844,64,1,98043,1,213519184,1,2
621080300,36,1,98036,2,213519362,1,1
621142324,40,1,98036,3,213542554,1,1
621142776,26,1,98012,2,213542712,1,1
621142844,61,1,98012,3,213542739,2,2
621143101,58,1,98012,2,213542831,1,1
621143369,47,1,98012,2,213542930,1,1
621100767,73,1,98012,1,213527210,1,1
621101028,93,1,98012,1,213527293,1,1
621101927,23,1,98037,2,213527567,1,2
621123229,58,1,98036,3,213535191,2,1
621123874,46,1,98036,1,213535435,2,1
621123973,38,1,98036,2,213535476,1,1
621080570,77,1,98036,2,213519465,1,1
621080598,32,1,98036,2,213519477,1,2
621080821,69,1,98036,2,213519564,1,2
621080869,47,1,98036,3,213519583,1,1
621081010,57,1,98036,2,213519644,2,3
621081053,35,1,98036,2,213519661,1,1
621081110,79,1,98036,1,213519682,1,1
621081291,78,1,98036,2,213519764,2,1
621081466,51,1,98036,2,213519838,1,1
621081557,59,1,98036,1,213519881,1,1
621143498,47,1,98012,2,213542980,1,1
621143577,71,1,98012,2,213543013,1,1
621143793,47,1,98012,2,213543094,1,1
621143859,42,1,98012,2,213543121,1,1
458298908,69,1,67211,2,148156440,1,2
458298937,47,1,67211,2,148156455,1,1
458298989,55,1,67211,2,148156478,1,1
458298998,55,1,67211,1,148156482,1,1
458299062,18,1,67211,2,148156505,2,3
458299095,34,1,67211,1,148156519,2,1
458299099,60,1,67211,2,148156521,1,1
458299100,78,1,67211,2,148156522,2,1
458299227,73,1,67211,1,148156570,1,1
458299229,34,1,67211,2,148156572,1,1
458299278,38,1,67213,1,148156594,1,1
458299297,47,1,67213,2,148156604,1,1
458299303,30,1,67213,1,148156607,2,2
458299331,19,1,67213,1,148156616,3,3
458299335,71,1,67213,1,148156619,1,1
458299358,50,1,67213,1,148156635,1,1
458299365,45,1,67213,3,148156639,2,1
458299382,34,1,67213,1,148156650,3,1
458299392,48,1,67213,2,148156654,2,1
458299405,27,1,67213,1,148156661,2,3
458299408,48,1,67213,1,148156662,2,1
458299427,28,1,67213,2,148156672,2,3
458299455,43,1,67213,1,148156685,1,1
458299456,50,1,67213,2,148156686,2,3
458299462,52,1,67213,2,148156690,1,1
458299507,45,1,67213,1,148156711,1,1
458299514,31,1,67213,1,148156715,2,2
458299517,41,1,67213,2,148156717,2,1
458299524,25,1,67213,1,148156721,2,3
458299529,25,1,67213,1,148156724,1,1
458299539,57,1,67213,1,148156729,1,1
458299552,20,1,67213,2,148156737,2,3
458299591,47,1,67213,2,148156758,1,1
458299597,46,1,67213,1,148156761,1,1
458299598,51,1,67213,1,148156762,1,1
458299632,34,1,67213,2,148156781,2,1
458299654,60,1,67213,1,148156792,1,1
458299676,23,1,67213,1,148156804,1,2
458299709,56,1,67213,3,148156822,1,1
458299710,52,1,67213,1,148156823,1,1
458299727,34,1,67213,2,148156832,1,1
458299730,33,1,67213,2,148156834,3,1
458320376,34,1,67211,2,148165717,1,1
458320385,42,1,67211,1,148165720,1,1
458320391,41,1,67211,1,148165722,1,1
458320392,65,1,67211,2,148165723,1,2
458320396,41,1,67211,3,148165726,3,2
458320399,34,1,67211,1,148165727,3,1
458320420,43,1,67211,2,148165737,1,1
458320443,65,1,67211,1,148165747,1,2
458320444,25,1,67211,1,148165748,1,1
458320445,38,1,67211,1,148165749,1,1
458320448,24,1,67211,1,148165751,2,1
458320471,21,1,67211,1,148165759,1,2
458320472,50,1,67211,2,148165760,4,2
458320493,53,1,67211,1,148165768,1,1
458320560,67,1,67211,3,148165802,2,3
458320618,32,1,67211,1,148165826,1,2
458320652,38,1,67211,3,148165844,2,2
458320654,60,1,67211,1,148165846,3,2
458320672,51,1,67211,3,148165856,2,3
458320685,33,1,67211,1,148165868,1,2
458320686,53,1,67211,1,148165869,1,1
458320689,28,1,67211,1,148165872,1,1
458320814,48,1,67211,2,148165920,1,1
458320878,65,1,67211,1,148165948,1,2
458320882,34,1,67211,1,148165950,3,1
458320905,34,1,67211,1,148165964,3,1
458320932,29,1,67211,1,148165976,1,2
458320951,32,1,67211,1,148165983,1,2
458320982,27,1,67211,1,148165995,2,3
458321010,62,1,67211,1,148166008,1,2
458321051,49,1,67211,2,148166027,1,1
458321055,75,1,67211,1,148166029,2,1
458321057,45,1,67211,1,148166031,1,1
458321058,35,1,67211,1,148166032,1,1
458321084,61,1,67211,2,148166044,1,2
458321119,56,1,67211,2,148166057,1,1
458321148,38,1,67211,1,148166070,1,1
458321152,43,1,67211,1,148166074,1,1
458321173,42,1,67211,2,148166087,1,1
458321195,47,1,67211,2,148166097,1,1
458321224,38,1,67211,1,148166110,1,1
458321243,40,1,67211,1,148166120,1,1
458321273,47,1,67211,2,148166133,1,1
458321283,50,1,67211,1,148166139,1,1
458321289,56,1,67211,2,148166144,2,3
458321321,24,1,67211,1,148166160,2,1
458321348,22,1,67211,1,148166170,1,2
458321353,29,1,67211,2,148166172,2,1
458321354,50,1,67211,2,148166173,1,1
458321372,58,1,67211,2,148166180,1,1
458321393,53,1,67211,1,148166192,1,1
458321428,39,1,67211,2,148166208,2,2
458321429,38,1,67211,2,148166209,1,1
458321447,59,1,67211,2,148166217,2,3
458321455,24,1,67211,2,148166221,1,2
458321465,22,1,67211,1,148166226,1,2
458321483,53,1,67211,3,148166237,2,3
458321494,43,1,67211,1,148166242,2,2
