PID,AGEP,SEX,HOME_ZIPCODE,HINCP,HID,PERSONS
615461380,35,2,24019,64900,211207186,2
617193482,27,1,23456,56900,211940889,2
617195089,21,1,23456,91200,211941392,4
613149211,49,1,22728,43000,210278375,2
613149298,58,1,22728,235000,210278400,3
617191405,38,1,23456,43000,211940273,1
617189988,28,1,23456,80000,211939601,1
617190734,48,2,23456,45000,211939956,1
617189285,38,1,23456,75000,211939268,2
617190890,26,1,23456,29000,211940030,1
617189401,24,2,23456,40000,211939328,3
617190202,43,1,23456,60000,211939700,4
617189662,36,1,23456,72000,211939453,1
615460123,18,2,24019,115000,211206697,5
615460100,26,1,24019,87000,211206689,2
615461543,30,2,24019,40600,211207251,2
615459551,25,2,24019,6600,211206451,2
615461809,61,1,24019,178000,211207351,2
615462270,56,2,24019,80000,211207541,3
617192155,37,2,23456,29000,211940498,1
617192574,24,1,23456,45700,211940621,7
364586111,91,2,95415,40800,111623407,1
364586127,55,2,95415,47700,111623413,2
364586143,56,2,95415,39900,111623420,2
364586314,56,1,95415,25400,111623492,1
364586355,50,2,95415,33000,111623511,2
364586446,55,1,95415,88000,111623553,2
364586691,53,1,95482,143100,111623654,2
364587132,75,2,95482,487604,111623809,1
364587158,75,1,95482,41800,111623817,1
364523346,60,1,95461,66200,111597200,2
364524041,61,1,95461,60440,111597450,2
364524115,56,2,95461,56320,111597474,2
364524168,60,2,95461,37000,111597494,2
364543482,35,1,95437,25000,111605541,2
364562545,52,2,95470,107000,111613354,3
364562690,91,2,95470,40800,111613406,1
364562858,75,1,95470,37400,111613468,2
364563087,51,2,95482,129600,111613554,3
364563194,27,2,95482,50000,111613590,3
364563214,36,2,95482,88200,111613596,5
364563499,51,2,95482,192100,111613699,2
364563509,25,2,95482,12000,111613704,1
364563746,33,1,95482,129000,111613792,3
364584800,36,1,95482,95000,111622860,3
364584818,28,1,95482,70000,111622864,2
364584985,45,1,95482,19100,111622937,2
364585044,58,1,95482,38204,111622963,2
364585121,30,2,95494,42000,111622991,3
364585691,66,1,95494,17700,111623231,2
364585856,62,1,95494,18000,111623302,2
364585912,54,1,95494,72000,111623329,2
364585942,79,2,95494,20000,111623342,1
364521966,63,2,95461,48000,111596635,1
364522154,36,1,95461,44000,111596725,3
364522193,27,1,95461,50000,111596742,1
364522273,29,1,95461,35000,111596776,3
364522406,50,2,95461,36000,111596840,1
364522831,82,2,95461,47600,111597016,2
364522890,64,2,95461,169200,111597036,2
364522921,52,1,95461,20300,111597049,2
364541852,55,1,95437,30300,111604770,1
364541923,41,2,95437,20000,111604804,1
364542041,79,2,95437,29000,111604860,1
364542070,27,2,95437,19000,111604875,3
364542086,41,1,95437,29000,111604881,1
364542306,83,2,95437,19700,111604990,1
364542440,53,1,95437,20000,111605055,1
364543081,32,1,95437,65000,111605361,1
364563977,61,1,95482,72000,111613879,2
364564136,60,1,95482,89900,111613932,3
364564170,18,2,95482,57900,111613946,5
364564337,53,2,95482,60200,111614006,2
364564499,25,2,95482,12000,111614072,1
364564662,70,2,95470,48500,111614137,1
364564958,19,2,95470,85200,111614244,3
364562673,58,2,95470,105000,111613400,2
364563065,56,1,95482,75000,111613546,3
364563292,52,1,95482,67300,111613621,2
364563381,54,2,95482,97000,111613653,2
364563604,46,1,95482,53000,111613740,4
364563803,55,2,95482,91000,111613815,1
364584723,40,2,95482,0,111622820,1
364584787,58,2,95482,16600,111622850,2
364585320,85,2,95494,31500,111623076,2
364585488,41,2,95494,37700,111623154,3
364585565,39,2,95494,19200,111623180,4
364585735,53,1,95494,22000,111623251,1
364521887,41,2,95461,53910,111596603,2
364522197,28,1,95461,41000,111596744,1
364522334,55,2,95461,19100,111596807,2
364522460,35,2,95461,79000,111596866,3
364522576,60,2,95461,77000,111596920,2
364522592,76,2,95461,35300,111596927,2
364522856,60,1,95461,66000,111597024,1
364522899,47,1,95461,391000,111597039,2
364541867,58,2,95437,16600,111604775,2
364541916,93,1,95437,19500,111604800,1
364542012,43,2,95437,60000,111604846,2
364542056,55,2,95437,34400,111604867,2
364542064,76,2,95437,22100,111604871,2
364542460,52,2,95437,36004,111605062,3
364542709,53,1,95437,4800,111605180,1
364542780,52,1,95437,46500,111605217,1
364542902,65,2,95437,91000,111605273,2
364543032,51,2,95437,69000,111605337,2
364543137,27,2,95437,22000,111605389,3
364563992,57,2,95482,59010,111613886,2
364523492,81,2,95461,44908,111597253,2
364523554,41,2,95461,104000,111597273,2
364523941,46,2,95461,200000,111597409,2
364523944,45,1,95461,71000,111597411,1
364524024,28,1,95461,65000,111597444,4
364543251,60,1,95437,114000,111605433,2
364543331,61,1,95437,281850,111605462,2
364543456,25,2,95437,12000,111605526,1
364543534,83,2,95437,10000,111605565,1
364543623,55,1,95437,37900,111605603,2
364543800,57,1,95437,92000,111605684,2
364544063,54,1,95437,12000,111605782,1
364544130,71,1,95437,22600,111605811,1
620896897,69,2,98208,9200,213442426,1
620837277,39,1,98275,56000,213418877,1
620837425,49,1,98275,45000,213418924,1
620837795,70,1,98275,26100,213419056,1
620859357,82,2,98208,18000,213427160,1
620859451,32,2,98208,15600,213427206,1
620859456,93,2,98208,10400,213427209,1
620859571,79,2,98208,15400,213427264,1
620859885,55,2,98208,38200,213427431,1
620860054,42,1,98208,11000,213427514,1
620860131,51,2,98208,4300,213427556,1
620860209,54,2,98208,52000,213427602,1
620881062,63,1,98037,34500,213435943,1
620881169,52,2,98037,66600,213435991,2
620881412,61,2,98037,47230,213436097,1
620881423,53,2,98037,55000,213436102,1
620881490,47,1,98037,37000,213436130,1
620881524,43,1,98037,28000,213436145,1
620881602,45,2,98037,35000,213436186,1
620881726,45,2,98037,32000,213436245,1
620881893,27,2,98037,21300,213436327,1
620892157,79,2,98204,11900,213440558,1
620892158,44,1,98204,32000,213440559,1
620892312,26,2,98208,55000,213440632,2
620892745,71,1,98208,148050,213440826,2
620892850,35,2,98208,32000,213440870,1
620892948,38,1,98208,45000,213440914,1
620839075,62,1,98203,7800,213419438,1
620860638,63,2,98208,163200,213427789,3
620860691,26,1,98208,42000,213427809,1
620882420,59,1,98204,50000,213436499,1
620882962,93,2,98204,19000,213436691,1
620883273,64,1,98204,107800,213436788,2
620883356,50,2,98204,59200,213436818,2
620883367,53,2,98204,32000,213436823,1
621097908,37,1,98208,120000,213526043,1
621097968,38,1,98208,65000,213526071,1
621098085,39,1,98208,31000,213526120,1
621098150,22,2,98208,2600,213526145,1
621098176,36,2,98208,30000,213526158,1
621098543,45,1,98208,170060,213526315,2
621098681,22,2,98208,2600,213526360,1
621098796,56,1,98208,60000,213526409,1
621098896,35,1,98208,71000,213526458,1
621099042,40,2,98208,70600,213526520,2
621099270,46,1,98208,60000,213526615,1
621161211,39,2,98012,122000,213549959,1
621161322,37,2,98012,72000,213550020,1
621161488,58,1,98012,50000,213550097,1
621161510,55,1,98012,125000,213550107,2
621120946,59,1,98296,85000,213534347,2
621121272,29,2,98296,78000,213534468,4
621121571,56,1,98296,109600,213534575,1
621121578,72,1,98296,62400,213534578,2
621078052,34,2,98036,15600,213518523,1
621078403,42,2,98036,48900,213518639,3
621078453,42,2,98036,61000,213518656,1
621078759,34,2,98043,15600,213518772,1
621140872,38,1,98036,65000,213542054,1
621141596,45,1,98036,54000,213542308,1
621142085,34,1,98036,15000,213542467,1
621142128,39,1,98036,31000,213542482,1
621099452,43,2,98208,50000,213526692,1
621099701,64,1,98208,57000,213526790,3
621100317,84,2,98208,14000,213527051,1
621100459,73,2,98208,2200,213527113,1
621122331,59,1,98036,40000,213534864,1
621122932,53,2,98036,100000,213535077,2
621079272,74,2,98043,23300,213518975,1
621079440,51,2,98043,0,213519037,1
621079584,48,1,98043,153900,213519090,2
621079786,41,1,98043,15000,213519162,1
621079833,34,2,98043,24000,213519179,1
621079844,64,2,98043,18750,213519184,1
621080300,36,2,98036,38000,213519362,1
621142324,40,1,98036,82000,213542554,1
621142776,26,2,98012,40000,213542712,1
621142844,61,2,98012,112000,213542739,2
621143101,58,2,98012,42200,213542831,1
621143369,47,1,98012,40000,213542930,1
621100767,73,1,98012,22300,213527210,1
621101028,93,2,98012,20800,213527293,1
621101927,23,2,98037,40000,213527567,1
621123229,58,2,98036,81000,213535191,2
621123874,46,2,98036,0,213535435,2
621123973,38,2,98036,38000,213535476,1
621080570,77,2,98036,49700,213519465,1
621080598,32,2,98036,50020,213519477,1
621080821,69,2,98036,36100,213519564,1
621080869,47,1,98036,120000,213519583,1
621081010,57,2,98036,51500,213519644,2
621081053,35,2,98036,50000,213519661,1
621081110,79,2,98036,1500,213519682,1
621081291,78,1,98036,32360,213519764,2
621081466,51,1,98036,66500,213519838,1
621081557,59,2,98036,24000,213519881,1
621143498,47,1,98012,40000,213542980,1
621143577,71,2,98012,35600,213543013,1
621143793,47,2,98012,42000,213543094,1
621143859,42,1,98012,40000,213543121,1
458298908,69,1,67211,30000,148156440,1
458298937,47,1,67211,30000,148156455,1
458298989,55,1,67211,40000,148156478,1
458298998,55,1,67211,21000,148156482,1
458299062,18,1,67211,38500,148156505,2
458299095,34,2,67211,10200,148156519,2
458299099,60,1,67211,48000,148156521,1
458299100,78,2,67211,40700,148156522,2
458299227,73,2,67211,23500,148156570,1
458299229,34,2,67211,30000,148156572,1
458299278,38,1,67213,9700,148156594,1
458299297,47,2,67213,30000,148156604,1
458299303,30,2,67213,22600,148156607,2
458299331,19,2,67213,6700,148156616,3
458299335,71,2,67213,3300,148156619,1
458299358,50,2,67213,3900,148156635,1
458299365,45,1,67213,75000,148156639,2
458299382,34,2,67213,9600,148156650,3
458299392,48,2,67213,57700,148156654,2
458299405,27,2,67213,22000,148156661,2
458299408,48,2,67213,16400,148156662,2
458299427,28,1,67213,67600,148156672,2
458299455,43,2,67213,7600,148156685,1
458299456,50,1,67213,31100,148156686,2
458299462,52,2,67213,30000,148156690,1
458299507,45,1,67213,7000,148156711,1
458299514,31,1,67213,7200,148156715,2
458299517,41,1,67213,27000,148156717,2
458299524,25,1,67213,6800,148156721,2
458299529,25,1,67213,6000,148156724,1
458299539,57,2,67213,640,148156729,1
458299552,20,1,67213,60800,148156737,2
458299591,47,1,67213,49000,148156758,1
458299597,46,1,67213,23200,148156761,1
458299598,51,1,67213,3300,148156762,1
458299632,34,2,67213,31000,148156781,2
458299654,60,2,67213,0,148156792,1
458299676,23,1,67213,1600,148156804,1
458299709,56,1,67213,79020,148156822,1
458299710,52,1,67213,9600,148156823,1
458299727,34,2,67213,30000,148156832,1
458299730,33,2,67213,31000,148156834,3
458320376,34,1,67211,41000,148165717,1
458320385,42,1,67211,8500,148165720,1
458320391,41,2,67211,20550,148165722,1
458320392,65,2,67211,45300,148165723,1
458320396,41,1,67211,81000,148165726,3
458320399,34,2,67211,9600,148165727,3
458320420,43,1,67211,46000,148165737,1
458320443,65,2,67211,18000,148165747,1
458320444,25,2,67211,12700,148165748,1
458320445,38,2,67211,24000,148165749,1
458320448,24,2,67211,12000,148165751,2
458320471,21,2,67211,15000,148165759,1
458320472,50,1,67211,46400,148165760,4
458320493,53,2,67211,11800,148165768,1
458320560,67,2,67211,77900,148165802,2
458320618,32,1,67211,20000,148165826,1
458320652,38,1,67211,110000,148165844,2
458320654,60,1,67211,21170,148165846,3
458320672,51,2,67211,116200,148165856,2
458320685,33,1,67211,21000,148165868,1
458320686,53,1,67211,600,148165869,1
458320689,28,1,67211,10800,148165872,1
458320814,48,2,67211,63004,148165920,1
458320878,65,2,67211,24000,148165948,1
458320882,34,2,67211,10000,148165950,3
458320905,34,2,67211,9600,148165964,3
458320932,29,2,67211,14200,148165976,1
458320951,32,1,67211,20000,148165983,1
458320982,27,2,67211,16000,148165995,2
458321010,62,2,67211,11700,148166008,1
458321051,49,2,67211,59800,148166027,1
458321055,75,2,67211,16300,148166029,2
458321057,45,1,67211,7000,148166031,1
458321058,35,1,67211,8000,148166032,1
458321084,61,2,67211,33000,148166044,1
458321119,56,2,67211,26000,148166057,1
458321148,38,1,67211,9700,148166070,1
458321152,43,1,67211,14900,148166074,1
458321173,42,2,67211,41000,148166087,1
458321195,47,2,67211,30000,148166097,1
458321224,38,1,67211,13000,148166110,1
458321243,40,1,67211,8500,148166120,1
458321273,47,1,67211,50000,148166133,1
458321283,50,1,67211,13500,148166139,1
458321289,56,2,67211,55000,148166144,2
458321321,24,1,67211,12500,148166160,2
458321348,22,2,67211,14000,148166170,1
458321353,29,2,67211,63200,148166172,2
458321354,50,2,67211,72000,148166173,1
458321372,58,2,67211,32600,148166180,1
458321393,53,1,67211,12500,148166192,1
458321428,39,1,67211,63200,148166208,2
458321429,38,2,67211,40000,148166209,1
458321447,59,1,67211,39700,148166217,2
458321455,24,1,67211,42300,148166221,1
458321465,22,1,67211,12500,148166226,1
458321483,53,2,67211,79000,148166237,2
458321494,43,1,67211,21600,148166242,2
