pid,age,gender,HOME_ZIPCODE,persons,income,HID,bin
613148762,65,2,22728,2,2,210278218,1
617729931,30,2,23322,2,2,212153087,2
617730035,65,2,23322,1,2,212153130,2
617729558,28,2,23322,4,3,212152952,3
617730553,92,2,23322,3,3,212153328,2
616686959,35,2,24609,2,2,211721521,1
616687315,50,2,24609,3,3,211721660,3
616688040,40,2,24609,2,3,211721952,1
617706793,63,2,23320,2,2,212144829,1
617705062,28,2,23320,4,3,212144096,3
617708302,25,2,23320,2,2,212145455,3
617194304,35,2,23456,4,3,211941147,2
617193648,62,2,23456,3,2,211940940,2
617194588,47,2,23456,4,3,211941232,2
617193955,40,2,23456,4,3,211941036,1
617193455,41,2,23456,2,2,211940880,1
613148073,46,2,22728,2,3,210277996,1
613149097,20,2,22728,3,3,210278335,3
613150723,49,2,22728,4,3,210278878,2
613149776,53,2,22728,2,2,210278562,3
613149529,70,2,22728,2,3,210278478,1
617730923,60,2,23322,2,3,212153476,2
617729403,54,2,23322,3,2,212152895,2
617730106,57,2,23322,2,2,212153162,3
617729302,71,2,23322,2,2,212152850,1
617729323,52,2,23322,4,3,212152861,2
617729683,45,2,23322,3,3,212152994,3
616664245,36,2,24263,1,2,211711753,1
617188882,28,2,23456,2,1,211939067,3
617191278,29,2,23456,2,2,211940213,1
617189871,55,2,23456,1,2,211939554,1
617188643,34,2,23456,3,3,211938955,1
617191413,60,2,23456,2,3,211940277,2
615462587,56,2,24019,2,2,211207673,3
615458985,64,2,24019,2,2,211206223,1
615462949,71,2,24019,2,3,211207823,1
615461380,35,2,24019,2,2,211207186,1
617193482,27,2,23456,2,2,211940889,3
617195089,21,2,23456,4,3,211941392,1
613149211,49,2,22728,2,2,210278375,1
613149298,58,2,22728,3,3,210278400,2
617191405,38,2,23456,1,2,211940273,1
617189988,28,2,23456,1,3,211939601,1
617190734,48,2,23456,1,2,211939956,1
617189285,38,2,23456,2,3,211939268,2
617190890,26,2,23456,1,2,211940030,1
617189401,24,2,23456,3,2,211939328,2
617190202,43,2,23456,4,2,211939700,1
617189662,36,2,23456,1,2,211939453,1
615460123,18,2,24019,5,3,211206697,3
615460100,26,2,24019,2,3,211206689,1
615461543,30,2,24019,2,2,211207251,2
615459551,25,2,24019,2,1,211206451,3
615461809,61,2,24019,2,3,211207351,2
615462270,56,2,24019,3,3,211207541,2
617192155,37,2,23456,1,2,211940498,1
617192574,24,2,23456,7,2,211940621,3
364586111,91,2,95415,1,2,111623407,1
364586127,55,2,95415,2,2,111623413,1
364586143,56,2,95415,2,2,111623420,3
364586314,56,2,95415,1,2,111623492,1
364586355,50,2,95415,2,2,111623511,3
364586446,55,2,95415,2,3,111623553,1
364586691,53,2,95482,2,3,111623654,3
364587132,75,2,95482,1,3,111623809,1
364587158,75,2,95482,1,2,111623817,1
364523346,60,2,95461,2,2,111597200,2
364524041,61,2,95461,2,2,111597450,2
364524115,56,2,95461,2,2,111597474,3
364524168,60,2,95461,2,2,111597494,2
364543482,35,2,95437,2,2,111605541,1
364562545,52,2,95470,3,3,111613354,2
364562690,91,2,95470,1,2,111613406,1
364562858,75,2,95470,2,2,111613468,1
364563087,51,2,95482,3,3,111613554,3
364563194,27,2,95482,3,2,111613590,3
364563214,36,2,95482,5,3,111613596,3
364563499,51,2,95482,2,3,111613699,3
364563509,25,2,95482,1,1,111613704,1
364563746,33,2,95482,3,3,111613792,1
364584800,36,2,95482,3,3,111622860,3
364584818,28,2,95482,2,2,111622864,3
364584985,45,2,95482,2,1,111622937,1
364585044,58,2,95482,2,2,111622963,1
364585121,30,2,95494,3,2,111622991,1
364585691,66,2,95494,2,1,111623231,1
364585856,62,2,95494,2,1,111623302,1
364585912,54,2,95494,2,2,111623329,2
364585942,79,2,95494,1,1,111623342,1
364521966,63,2,95461,1,2,111596635,2
364522154,36,2,95461,3,2,111596725,3
364522193,27,2,95461,1,2,111596742,1
364522273,29,2,95461,3,2,111596776,3
364522406,50,2,95461,1,2,111596840,1
364522831,82,2,95461,2,2,111597016,1
364522890,64,2,95461,2,3,111597036,1
364522921,52,2,95461,2,1,111597049,3
364541852,55,2,95437,1,2,111604770,1
364541923,41,2,95437,1,1,111604804,1
364542041,79,2,95437,1,2,111604860,1
364542070,27,2,95437,3,1,111604875,3
364542086,41,2,95437,1,2,111604881,1
364542306,83,2,95437,1,1,111604990,1
364542440,53,2,95437,1,1,111605055,1
364543081,32,2,95437,1,2,111605361,2
364563977,61,2,95482,2,2,111613879,2
364564136,60,2,95482,3,3,111613932,2
364564170,18,2,95482,5,2,111613946,3
364564337,53,2,95482,2,2,111614006,3
364564499,25,2,95482,1,1,111614072,1
364564662,70,2,95470,1,2,111614137,2
364564958,19,2,95470,3,3,111614244,3
364562673,58,2,95470,2,3,111613400,1
364563065,56,2,95482,3,3,111613546,2
364563292,52,2,95482,2,2,111613621,3
364563381,54,2,95482,2,3,111613653,2
364563604,46,2,95482,4,2,111613740,1
364563803,55,2,95482,1,3,111613815,1
364584723,40,2,95482,1,1,111622820,1
364584787,58,2,95482,2,1,111622850,1
364585320,85,2,95494,2,2,111623076,1
364585488,41,2,95494,3,2,111623154,2
364585565,39,2,95494,4,1,111623180,1
364585735,53,2,95494,1,1,111623251,1
364521887,41,2,95461,2,2,111596603,1
364522197,28,2,95461,1,2,111596744,1
364522334,55,2,95461,2,1,111596807,1
364522460,35,2,95461,3,3,111596866,3
364522576,60,2,95461,2,3,111596920,2
364522592,76,2,95461,2,2,111596927,1
364522856,60,2,95461,1,2,111597024,1
364522899,47,2,95461,2,3,111597039,2
364541867,58,2,95437,2,1,111604775,1
364541916,93,2,95437,1,1,111604800,1
364542012,43,2,95437,2,2,111604846,2
364542056,55,2,95437,2,2,111604867,1
364542064,76,2,95437,2,1,111604871,1
364542460,52,2,95437,3,2,111605062,2
364542709,53,2,95437,1,1,111605180,1
364542780,52,2,95437,1,2,111605217,1
364542902,65,2,95437,2,3,111605273,1
364543032,51,2,95437,2,2,111605337,3
364543137,27,2,95437,3,1,111605389,3
364563992,57,2,95482,2,2,111613886,3
364523492,81,2,95461,2,2,111597253,1
364523554,41,2,95461,2,3,111597273,1
364523941,46,2,95461,2,3,111597409,1
364523944,45,2,95461,1,2,111597411,1
364524024,28,2,95461,4,2,111597444,3
364543251,60,2,95437,2,3,111605433,2
364543331,61,2,95437,2,3,111605462,2
364543456,25,2,95437,1,1,111605526,1
364543534,83,2,95437,1,1,111605565,1
364543623,55,2,95437,2,2,111605603,1
364543800,57,2,95437,2,3,111605684,3
364544063,54,2,95437,1,1,111605782,1
364544130,71,2,95437,1,1,111605811,1
620896897,69,2,98208,1,1,213442426,2
620837277,39,2,98275,1,2,213418877,1
620837425,49,2,98275,1,2,213418924,1
620837795,70,2,98275,1,2,213419056,2
620859357,82,2,98208,1,1,213427160,1
620859451,32,2,98208,1,1,213427206,2
620859456,93,2,98208,1,1,213427209,1
620859571,79,2,98208,1,1,213427264,1
620859885,55,2,98208,1,2,213427431,1
620860054,42,2,98208,1,1,213427514,1
620860131,51,2,98208,1,1,213427556,1
620860209,54,2,98208,1,2,213427602,1
620881062,63,2,98037,1,2,213435943,2
620881169,52,2,98037,2,2,213435991,3
620881412,61,2,98037,1,2,213436097,2
620881423,53,2,98037,1,2,213436102,1
620881490,47,2,98037,1,2,213436130,1
620881524,43,2,98037,1,2,213436145,1
620881602,45,2,98037,1,2,213436186,1
620881726,45,2,98037,1,2,213436245,1
620881893,27,2,98037,1,1,213436327,1
620892157,79,2,98204,1,1,213440558,1
620892158,44,2,98204,1,2,213440559,1
620892312,26,2,98208,2,2,213440632,1
620892745,71,2,98208,2,3,213440826,1
620892850,35,2,98208,1,2,213440870,1
620892948,38,2,98208,1,2,213440914,1
620839075,62,2,98203,1,1,213419438,2
620860638,63,2,98208,3,3,213427789,2
620860691,26,2,98208,1,2,213427809,1
620882420,59,2,98204,1,2,213436499,1
620882962,93,2,98204,1,1,213436691,1
620883273,64,2,98204,2,3,213436788,1
620883356,50,2,98204,2,2,213436818,3
620883367,53,2,98204,1,2,213436823,1
621097908,37,2,98208,1,3,213526043,1
621097968,38,2,98208,1,2,213526071,1
621098085,39,2,98208,1,2,213526120,1
621098150,22,2,98208,1,1,213526145,2
621098176,36,2,98208,1,2,213526158,1
621098543,45,2,98208,2,3,213526315,1
621098681,22,2,98208,1,1,213526360,2
621098796,56,2,98208,1,2,213526409,1
621098896,35,2,98208,1,2,213526458,1
621099042,40,2,98208,2,2,213526520,1
621099270,46,2,98208,1,2,213526615,1
621161211,39,2,98012,1,3,213549959,1
621161322,37,2,98012,1,2,213550020,1
621161488,58,2,98012,1,2,213550097,1
621161510,55,2,98012,2,3,213550107,1
621120946,59,2,98296,2,3,213534347,3
621121272,29,2,98296,4,3,213534468,2
621121571,56,2,98296,1,3,213534575,1
621121578,72,2,98296,2,2,213534578,1
621078052,34,2,98036,1,1,213518523,1
621078403,42,2,98036,3,2,213518639,3
621078453,42,2,98036,1,2,213518656,1
621078759,34,2,98043,1,1,213518772,1
621140872,38,2,98036,1,2,213542054,1
621141596,45,2,98036,1,2,213542308,1
621142085,34,2,98036,1,1,213542467,1
621142128,39,2,98036,1,2,213542482,1
621099452,43,2,98208,1,2,213526692,1
621099701,64,2,98208,3,2,213526790,2
621100317,84,2,98208,1,1,213527051,1
621100459,73,2,98208,1,1,213527113,1
621122331,59,2,98036,1,2,213534864,1
621122932,53,2,98036,2,3,213535077,3
621079272,74,2,98043,1,1,213518975,1
621079440,51,2,98043,1,1,213519037,1
621079584,48,2,98043,2,3,213519090,2
621079786,41,2,98043,1,1,213519162,1
621079833,34,2,98043,1,1,213519179,1
621079844,64,2,98043,1,1,213519184,2
621080300,36,2,98036,1,2,213519362,1
621142324,40,2,98036,1,3,213542554,1
621142776,26,2,98012,1,2,213542712,1
621142844,61,2,98012,2,3,213542739,2
621143101,58,2,98012,1,2,213542831,1
621143369,47,2,98012,1,2,213542930,1
621100767,73,2,98012,1,1,213527210,1
621101028,93,2,98012,1,1,213527293,1
621101927,23,2,98037,1,2,213527567,2
621123229,58,2,98036,2,3,213535191,1
621123874,46,2,98036,2,1,213535435,1
621123973,38,2,98036,1,2,213535476,1
621080570,77,2,98036,1,2,213519465,1
621080598,32,2,98036,1,2,213519477,2
621080821,69,2,98036,1,2,213519564,2
621080869,47,2,98036,1,3,213519583,1
621081010,57,2,98036,2,2,213519644,3
621081053,35,2,98036,1,2,213519661,1
621081110,79,2,98036,1,1,213519682,1
621081291,78,2,98036,2,2,213519764,1
621081466,51,2,98036,1,2,213519838,1
621081557,59,2,98036,1,1,213519881,1
621143498,47,2,98012,1,2,213542980,1
621143577,71,2,98012,1,2,213543013,1
621143793,47,2,98012,1,2,213543094,1
621143859,42,2,98012,1,2,213543121,1
458298908,69,2,67211,1,2,148156440,2
458298937,47,2,67211,1,2,148156455,1
458298989,55,2,67211,1,2,148156478,1
458298998,55,2,67211,1,1,148156482,1
458299062,18,2,67211,2,2,148156505,3
458299095,34,2,67211,2,1,148156519,1
458299099,60,2,67211,1,2,148156521,1
458299100,78,2,67211,2,2,148156522,1
458299227,73,2,67211,1,1,148156570,1
458299229,34,2,67211,1,2,148156572,1
458299278,38,2,67213,1,1,148156594,1
458299297,47,2,67213,1,2,148156604,1
458299303,30,2,67213,2,1,148156607,2
458299331,19,2,67213,3,1,148156616,3
458299335,71,2,67213,1,1,148156619,1
458299358,50,2,67213,1,1,148156635,1
458299365,45,2,67213,2,3,148156639,1
458299382,34,2,67213,3,1,148156650,1
458299392,48,2,67213,2,2,148156654,2
458299405,27,2,67213,2,1,148156661,3
458299408,48,2,67213,2,1,148156662,2
458299427,28,2,67213,2,2,148156672,3
458299455,43,2,67213,1,1,148156685,1
458299456,50,2,67213,2,2,148156686,3
458299462,52,2,67213,1,2,148156690,1
458299507,45,2,67213,1,1,148156711,1
458299514,31,2,67213,2,1,148156715,2
458299517,41,2,67213,2,2,148156717,1
458299524,25,2,67213,2,1,148156721,3
458299529,25,2,67213,1,1,148156724,1
458299539,57,2,67213,1,1,148156729,1
458299552,20,2,67213,2,2,148156737,1
458299591,47,2,67213,1,2,148156758,1
458299597,46,2,67213,1,1,148156761,1
458299598,51,2,67213,1,1,148156762,1
458299632,34,2,67213,2,2,148156781,1
458299654,60,2,67213,1,1,148156792,1
458299676,23,2,67213,1,1,148156804,2
458299709,56,2,67213,1,3,148156822,1
458299710,52,2,67213,1,1,148156823,1
458299727,34,2,67213,1,2,148156832,1
458299730,33,2,67213,3,2,148156834,1
458320376,34,2,67211,1,2,148165717,1
458320385,42,2,67211,1,1,148165720,1
458320391,41,2,67211,1,1,148165722,1
458320392,65,2,67211,1,2,148165723,2
458320396,41,2,67211,3,3,148165726,2
458320399,34,2,67211,3,1,148165727,1
458320420,43,2,67211,1,2,148165737,1
458320443,65,2,67211,1,1,148165747,2
458320444,25,2,67211,1,1,148165748,1
458320445,38,2,67211,1,1,148165749,1
458320448,24,2,67211,2,1,148165751,1
458320471,21,2,67211,1,1,148165759,2
458320472,50,2,67211,4,2,148165760,2
458320493,53,2,67211,1,1,148165768,1
458320560,67,2,67211,2,3,148165802,1
458320618,32,2,67211,1,1,148165826,2
458320652,38,2,67211,2,3,148165844,2
458320654,60,2,67211,3,1,148165846,2
458320672,51,2,67211,2,3,148165856,3
458320685,33,2,67211,1,1,148165868,2
458320686,53,2,67211,1,1,148165869,1
458320689,28,2,67211,1,1,148165872,1
458320814,48,2,67211,1,2,148165920,1
458320878,65,2,67211,1,1,148165948,2
458320882,34,2,67211,3,1,148165950,1
458320905,34,2,67211,3,1,148165964,1
458320932,29,2,67211,1,1,148165976,2
458320951,32,2,67211,1,1,148165983,2
458320982,27,2,67211,2,1,148165995,3
458321010,62,2,67211,1,1,148166008,2
458321051,49,2,67211,1,2,148166027,1
458321055,75,2,67211,2,1,148166029,1
458321057,45,2,67211,1,1,148166031,1
458321058,35,2,67211,1,1,148166032,1
458321084,61,2,67211,1,2,148166044,2
458321119,56,2,67211,1,2,148166057,1
458321148,38,2,67211,1,1,148166070,1
458321152,43,2,67211,1,1,148166074,1
458321173,42,2,67211,1,2,148166087,1
458321195,47,2,67211,1,2,148166097,1
458321224,38,2,67211,1,1,148166110,1
458321243,40,2,67211,1,1,148166120,1
458321273,47,2,67211,1,2,148166133,1
458321283,50,2,67211,1,1,148166139,1
458321289,56,2,67211,2,2,148166144,3
458321321,24,2,67211,2,1,148166160,1
458321348,22,2,67211,1,1,148166170,2
458321353,29,2,67211,2,2,148166172,1
458321354,50,2,67211,1,2,148166173,1
458321372,58,2,67211,1,2,148166180,1
458321393,53,2,67211,1,1,148166192,1
458321428,39,2,67211,2,2,148166208,2
458321429,38,2,67211,1,2,148166209,1
458321447,59,2,67211,2,2,148166217,3
458321455,24,2,67211,1,2,148166221,2
458321465,22,2,67211,1,1,148166226,2
458321483,53,2,67211,2,3,148166237,3
458321494,43,2,67211,2,1,148166242,2
